,acc,loss,val_acc,val_loss
0,0.8492050067658998,0.3318183500123121,0.8423655063291139,0.3375841017953957
1,0.9013447225981055,0.22333102560374024,0.8382120253164557,0.36431452565932576
2,0.9242667907978155,0.17927562374550843,0.849338242611205,0.3586960219959691
3,0.9322987144790257,0.16420369250485636,0.8459256329113924,0.3894995019028458
4,0.9432053832004051,0.14026918872819438,0.8242611205095034,0.46785515184088344
5,0.9490654600811907,0.127112085869251,0.8382120253164557,0.4444301720661453
6,0.9549071056777522,0.11169852065830166,0.8455567718180913,0.44374521763980274
7,0.9573325439783491,0.10748760122931858,0.8490901898734177,0.42932562841267524
8,0.964344661223903,0.09241010912588525,0.8430689620857796,0.4834341069977964
9,0.9642887347767253,0.08981058969892088,0.8544303797468354,0.4372948621270023
